{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-139, Centroid: (340.44065, 364.93669)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-149, Centroid: (284.95206, 361.19923)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-156, Centroid: (248.42679, 426.56395)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-205, Centroid: (165.22504, 163.95412)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-209, Centroid: (165.50482, 29.02481)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-218, Centroid: (312.59891, 72.24899)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-219, Centroid: (350.40785, 31.50619)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-413, Centroid: (168.69816, -143.1046)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-415, Centroid: (168.69816, -160.32653)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-417, Centroid: (168.69816, -176.41915)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-418, Centroid: (132.70143, -179.34464)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-419, Centroid: (171.83792, -195.91769)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-421, Centroid: (171.83792, -218.30835)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-423, Centroid: (171.83792, -239.92977)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-425, Centroid: (171.83792, -261.15352)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-427, Centroid: (172.9502, -282.0642)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 3, Room: 3-429, Centroid: (171.83792, -304.79059)}
